WERKS,EQUNR,EMATN,DATAB,DATBI,MAABC,MENGE,LEADTIME,cut_date,operate_day,k,demand_peryear,Anper
D601,D2-K-2604-K1,6000971,2017-04-04,2099-12-31,B,4.0,100.0,2021-12-31,1732,5.0,0.8,PKT
D601,D2-LV-9402-K2,6019501,2016-01-01,2099-12-31,B,1.0,436.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-LV-9402-K2,6047066,2016-01-01,2099-12-31,B,2.0,478.0,2021-12-31,2191,6.0,0.3333333333333333,PKT
D601,D2-LV-9907B-K2,6008288,2016-01-01,2099-12-31,B,1.0,78.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-P-044A-K1,6053014,2017-04-04,2099-12-31,B,2.0,94.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2-P-201A-PM2-K4,6011647,2017-05-05,2099-12-31,B,1.0,323.0,2021-12-31,1701,5.0,0.2,PKT
D601,D2-P-2611A-K1,6007469,2017-04-04,2099-12-31,B,2.0,512.5,2021-12-31,1732,5.0,0.4,PKT
D601,D2-P-2612A-K1,6013458,2017-04-04,2099-12-31,B,100.0,705.0,2021-12-31,1732,5.0,20.0,PKT
D601,D2-P-2612A-K1,6022303,2017-04-04,2099-12-31,B,2.0,173.66666666666666,2021-12-31,1732,5.0,0.4,PKT
D601,D2-P-2612A-K1,6023354,2017-04-04,2099-12-31,B,1.0,649.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-P-2612A-K1,6023727,2017-04-04,2099-12-31,B,1.0,353.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-P-2901A-K1,6076338,2017-04-04,2099-12-31,B,1.0,346.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-P-2903A-K1,6015994,2017-04-04,2099-12-31,B,2.0,123.0,2021-12-31,1732,5.0,0.4,PKT
D601,DP2-K-102-LP-K1A,6015994,2019-01-31,2099-12-31,B,2.0,123.0,2021-12-31,1065,3.0,0.6666666666666666,PKT
D601,D2-P-2903A-K1,6017755,2017-04-04,2099-12-31,B,5.0,175.0,2021-12-31,1732,5.0,1.0,PKT
D601,D2-P-610A-K4,6010871,2017-05-05,2099-12-31,C,8.0,294.0,2021-12-31,1701,5.0,1.6,PKT
D601,D2-P-610A-K4,6037456,2017-05-05,2099-12-31,B,6.0,508.0,2021-12-31,1701,5.0,1.2,PKT
D601,D2-P-610A-K4,6039390,2017-05-05,2099-12-31,B,11.0,520.0,2021-12-31,1701,5.0,2.2,PKT
D601,D2-P-610A-K4,6039391,2017-05-05,2099-12-31,B,1.0,240.0,2021-12-31,1701,5.0,0.2,PKT
D601,D2-P-610A-K4,6046149,2017-05-05,2099-12-31,C,1.0,146.0,2021-12-31,1701,5.0,0.2,PKT
D601,D2-P-610A-K4,6046150,2017-05-05,2099-12-31,C,1.0,146.0,2021-12-31,1701,5.0,0.2,PKT
D601,D2-P-610A-K4,6057968,2017-05-05,2099-12-31,C,1.0,240.0,2021-12-31,1701,5.0,0.2,PKT
D601,D2-P-610A-K4,6058095,2017-05-05,2099-12-31,B,8.0,702.0,2021-12-31,1701,5.0,1.6,PKT
D601,D2-P-610B-K4,6006487,2017-05-05,2099-12-31,B,1.0,198.75,2021-12-31,1701,5.0,0.2,PKT
D601,D2-P-610B-K4,6019498,2017-05-05,2099-12-31,B,1.0,384.0,2021-12-31,1701,5.0,0.2,PKT
D601,D2-P-802A-K1,6035279,2017-04-04,2099-12-31,B,1.0,245.5,2021-12-31,1732,5.0,0.2,PKT
D601,DP2-K-605-K1A,6035279,2019-01-31,2099-12-31,B,1.0,245.5,2021-12-31,1065,3.0,0.3333333333333333,PKT
D601,D2-PV-9204-K2,6026969,2016-01-01,2099-12-31,B,1.0,316.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-RV-304-EA-K2,6055533,2016-01-01,2099-12-31,B,1.0,714.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-RV-307-J2-K2,6001954,2016-01-01,2099-12-31,B,1.0,473.5,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-RV-307-JA1-K2,6011000,2016-01-01,2099-12-31,B,1.0,438.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-SV-134B-K5,6012276,2016-01-01,2099-12-31,B,1.0,603.0,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-SV-7010-K4,6008193,2016-01-01,2099-12-31,B,2.0,531.0,2021-12-31,2191,6.0,0.3333333333333333,PKT
D601,D2-SV-7010-K4,6047746,2016-01-01,2099-12-31,B,1.0,423.3333333333333,2021-12-31,2191,6.0,0.16666666666666666,PKT
D601,D2-SV-8007-K4,6016621,2016-01-01,2099-12-31,B,2.0,140.0,2021-12-31,2191,6.0,0.3333333333333333,PKT
